Date,Ret_m_Rf_dvdy
28/06/99,0.01205023
29/06/99,0.014913814
30/06/99,0.015538013
01/07/99,0.005921228
02/07/99,0.007331365
06/07/99,-0.002301522
07/07/99,0.005489599
08/07/99,-0.001102906
09/07/99,0.006262991
12/07/99,-0.003054012
13/07/99,-0.004038283
14/07/99,0.00323181
15/07/99,0.008085097
16/07/99,0.006406414
19/07/99,-0.007946497
20/07/99,-0.022012636
21/07/99,0.001518288
22/07/99,-0.013442036
23/07/99,-0.003036332
26/07/99,-0.006858952
27/07/99,0.011055977
28/07/99,0.001805917
29/07/99,-0.01808024
30/07/99,-0.009292739
02/08/99,-0.000575106
03/08/99,-0.004500601
04/08/99,-0.012896875
05/08/99,0.006328524
06/08/99,-0.010338613
09/08/99,-0.001987579
10/08/99,-0.01276467
11/08/99,0.015800343
12/08/99,-0.00297071
13/08/99,0.022414402
16/08/99,0.002253845
17/08/99,0.009940777
18/08/99,-0.008528123
19/08/99,-0.007035056
20/08/99,0.009718037
23/08/99,0.01743909
24/08/99,0.0023377
25/08/99,0.013254072
26/08/99,-0.014489024
27/08/99,-0.010210047
30/08/99,-0.018220519
31/08/99,-0.002801051
01/09/99,0.007969976
02/09/99,-0.009096627
03/09/99,0.02842517
07/09/99,-0.005086178
08/09/99,-0.004746766
09/09/99,0.002537126
10/09/99,0.002892918
13/09/99,-0.005657318
14/09/99,-0.005920614
15/09/99,-0.013875288
16/09/99,0.000316097
17/09/99,0.012695546
20/09/99,1.16E-05
21/09/99,-0.021220965
22/09/99,0.002167522
23/09/99,-0.02330681
24/09/99,-0.002455723
27/09/99,0.004576494
28/09/99,-0.000936203
29/09/99,-0.0109155
30/09/99,0.011171596
01/10/99,7.24E-06
04/10/99,0.016772638
05/10/99,-0.002565087
06/10/99,0.018241357
07/10/99,-0.005942843
08/10/99,0.013781998
11/10/99,-0.0006773
12/10/99,-0.016814258
13/10/99,-0.021229202
14/10/99,-0.00172905
15/10/99,-0.028529788
18/10/99,0.005301887
19/10/99,0.005645846
20/10/99,0.02197076
21/10/99,-0.004594686
22/10/99,0.013885506
25/10/99,-0.006251278
26/10/99,-0.009171838
